date,option,product_code,term_months,elec_day_rate,elec_night_rate,elec_standing,gas_rate,gas_standing,exit_fee,elec_annual_cost_gbp,gas_annual_cost_gbp,total_annual_cost_gbp,elec_monthly_cost_gbp,gas_monthly_cost_gbp,total_monthly_cost_gbp
2026-09-17,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-02,12,32.66781,7.99995,63.43974,,,0.0,1377.99,0.0,1377.99,114.83,0.0,114.83
2026-09-17,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
2026-09-17,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-02,12,32.66781,7.99995,63.43974,,,0.0,1377.99,0.0,1377.99,114.83,0.0,114.83
2026-09-17,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
2026-09-18,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-18,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
2026-09-19,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-19,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
2026-09-20,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-20,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
2026-09-21,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-21,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
2026-09-22,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-23,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-24,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-24,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
2026-09-24,Intelligent Octopus Go 12M Fixed,IOG-SMB-FIX-12M-26-09-18,12,36.28275,8.4,63.90069,,,0.0,1484.6,0.0,1484.6,123.72,0.0,123.72
2026-09-24,Octopus 12M Fixed,OE-FIX-12M-26-09-11,12,27.786045,,61.09026,8.85171,28.98399,50.0,2146.89,912.27,3059.16,178.91,76.02,254.93
